date,regime_score,regime_label,spy_close,vix_level
2000-10-16,33.270115,Bear,87.69646453857422,26.790000915527344
2000-10-17,29.282091,Bear,85.51493072509766,27.84000015258789
2000-10-18,27.374216,Bear,85.19763946533203,28.71999931335449
2000-10-19,42.962555,Transitional,88.41045379638672,25.09000015258789
2000-10-20,44.081413,Transitional,88.78728485107422,24.239999771118164
2000-10-23,42.962914,Transitional,89.18385314941406,24.690000534057617
2000-10-24,44.9252,Transitional,88.58889770507812,24.280000686645508
2000-10-25,36.223457,Transitional,86.50656127929688,26.649999618530277
2000-10-26,30.928713,Bear,86.7445297241211,28.6200008392334
2000-10-27,35.578865,Transitional,88.39056396484375,26.46999931335449
2000-10-30,41.00632,Transitional,89.18385314941406,25.459999084472656
2000-10-31,48.24387,Transitional,90.7208480834961,23.6299991607666
2000-11-01,51.27595,Transitional,90.41343688964844,24.280000686645508
2000-11-02,50.73758,Transitional,90.56220245361328,23.920000076293945
2000-11-03,49.00101,Transitional,90.61174011230467,23.670000076293945
2000-11-06,52.893135,Transitional,91.2463607788086,24.520000457763672
2000-11-07,50.644905,Transitional,91.22653198242188,24.90999984741211
2000-11-08,43.3604,Transitional,89.20368194580078,25.65999984741211
2000-11-09,39.50398,Transitional,88.86656188964844,27.200000762939453
2000-11-10,35.25156,Transitional,86.70487213134766,28.530000686645508
2000-11-13,31.409794,Bear,86.03060150146484,29.059999465942383
2000-11-14,38.709503,Transitional,88.29145050048828,26.809999465942383
2000-11-15,44.33994,Transitional,88.56906127929688,26.149999618530277
2000-11-16,43.631,Transitional,87.18086242675781,25.049999237060547
2000-11-17,43.099102,Transitional,86.71479034423828,24.809999465942383
2000-11-20,34.362907,Bear,85.47525787353516,27.43000030517578
2000-11-21,34.477997,Bear,85.9115982055664,26.6200008392334
2000-11-22,26.75809,Bear,83.85899353027344,27.709999084472656
2000-11-24,36.093914,Transitional,85.57445526123047,26.0
2000-11-27,36.947857,Transitional,86.32805633544922,26.93000030517578
2000-11-28,32.07489,Bear,84.8406753540039,27.63999938964844
2000-11-29,31.657454,Bear,84.68199157714844,27.489999771118164
2000-11-30,28.01353,Bear,83.9482650756836,29.649999618530277
2000-12-01,29.606857,Bear,83.90859985351562,27.479999542236328
2000-12-04,31.147034,Bear,84.62252044677734,27.780000686645508
2000-12-05,42.960747,Transitional,87.39897918701172,24.989999771118164
2000-12-06,37.643658,Transitional,86.0008773803711,25.06999969482422
2000-12-07,36.344566,Transitional,84.82084655761719,25.34000015258789
2000-12-08,41.65172,Transitional,85.0191650390625,22.40999984741211
2000-12-11,48.33843,Transitional,87.97411346435547,23.51000022888184
2000-12-12,44.502995,Transitional,87.59732055664062,24.8799991607666
2000-12-13,44.890396,Transitional,86.3974609375,23.6299991607666
2000-12-14,40.377632,Transitional,85.29679870605469,24.86000061035156
2000-12-15,29.197407,Bear,83.37026977539062,26.549999237060547
2000-12-18,29.93608,Bear,84.4842300415039,27.700000762939453
2000-12-19,27.71061,Bear,82.7635269165039,27.170000076293945
2000-12-20,19.248468,Bear,80.36647033691406,31.739999771118164
2000-12-21,22.615498,Bear,80.9234390258789,29.65999984741211
2000-12-22,34.805767,Bear,83.3503646850586,27.549999237060547
2000-12-26,33.24186,Bear,84.24552917480469,28.729999542236328
2000-12-27,36.557045,Transitional,84.86221313476562,28.13999938964844
2000-12-28,43.452766,Transitional,85.12076568603516,26.56999969482422
2000-12-29,38.574127,Transitional,83.50953674316406,26.850000381469727
2001-01-02,28.110714,Bear,81.99765014648438,29.989999771118164
2001-01-03,40.76335,Transitional,85.9364013671875,26.600000381469727
2001-01-04,37.25051,Transitional,85.01136779785156,26.96999931335449
2001-01-05,24.411943,Bear,82.23636627197266,28.670000076293945
2001-01-08,27.856106,Bear,82.87294006347656,29.84000015258789
2001-01-09,32.85515,Bear,82.65412139892578,27.989999771118164
2001-01-10,33.725006,Bear,84.10627746582031,26.799999237060547
2001-01-11,35.571327,Transitional,84.18585968017578,25.790000915527344
2001-01-12,39.8217,Transitional,84.02671813964844,24.559999465942383
2001-01-16,42.090996,Transitional,84.56380462646484,25.280000686645508
2001-01-17,43.253113,Transitional,84.95173645019531,24.93000030517578
2001-01-18,46.97627,Transitional,85.79716491699219,23.3700008392334
2001-01-19,44.908543,Transitional,85.30979919433594,23.239999771118164
2001-01-22,49.158916,Transitional,85.87671661376953,23.25
2001-01-23,56.002094,Transitional,86.55311584472656,21.56999969482422
2001-01-24,52.57934,Transitional,86.81163024902344,22.030000686645508
2001-01-25,49.60546,Transitional,86.59284973144531,22.63999938964844
